id;ligne;titre;date;artiste;lieu;description;image;tags;largeur;hauteur;octets
le-christ-en-croix-adore-par-deux-donateurs_c-1590;17;Le christ en croix adoré par deux donateurs;C 1590;El Greco;Louvre;figures allongées, anatomie non naturaliste, torsion du corps, couleurs vives, fond de ciel nocturne/orageux, lumière irréelle, facture rapide, expressivité spirituelle privilégiée sur l’exactitude anatomique ou spatiale. Etait présentée dans la galerie espagnole du Roi Louis-Philippe, collection personelle du souverain, contribuant à la diffusion de la peinture espagnole en Europe.;le-christ-en-croix-adore-par-deux-donateurs_c-1590.jpg;Peinture, Huile, Maniérisme;913;1400;136955
la-pudeur_1749-1752;18;La pudeur;1749-1752;Antonio Corradini;chapelle sansevero, Naples.;Baroque tardif lié à la délicatesse et raffinement, rococo;la-pudeur_1749-1752.jpg;Sculpture, marbre, Baroque, Rocaille;634;1024;121412
fontaine-de-trevi_1732-1762;19;Fontaine de Trévi;1732-1762;Nicola Salvi puis Giovanni paolo Panini;Rome;Baroque tardif intégrant des éléments Rococo : Neptune sur coquillage.;fontaine-de-trevi_1732-1762.jpg;Sculpture, Architecture, Baroque, Rocaille;1400;759;213722
buste-de-louis-xiv_1665;20;Buste de Louis XIV;1665;Gian lorenzo Bernini;Versailles;Mouvement;buste-de-louis-xiv_1665.jpg;Baroque, Sculpture, marbre;1400;980;246799
fresque-du-plafond-de-l-escalier-d-honneur_1751;21;Fresque du plafond de l’escalier d’honneur;1751;Giovanni Battista Tiepolo;résidence de Würzburg;"“Apollon et les Continents” + gloire monarchique. 
Fluidité spatiale, polychromie, stucs ondulant, aucun quadri riportati, grande luminosité, témoigne de la carrière internationale des artistes.";fresque-du-plafond-de-l-escalier-d-honneur_1751.jpg;Peinture, fresque, baroque;445;583;83806
fresques-de-la-chapelle-royale_1699-1710;22;Fresques de la chapelle royale;1699-1710;Antoine Coypel, Charles De la Fosse, Jean-baptiste Jouvenet;Versailles;Baroque versaillais assagi;fresques-de-la-chapelle-royale_1699-1710.jpg;Peinture, fresque, baroque;810;1215;332871
la-mort-de-la-vierge_1601-1606;23;La mort de la Vierge;1601-1606;Michelangelo Merisi, dit Caravage;Louvre;Aucune idéalisation de la vierge, traitée comme une femme du peuple, pieds nus, ventre gonflé. Rumeur d’un modèle inspiré d’une noyée ou prostituée, litière trop courte pour le corps. Clair obscur dramatique, éclairage oblique et latéral, arrière plan plongé dans l’ombre, palette réduite. théâtralité avec un grand drapé rouge. cadre resserré. Jugé indécent, refusé par les commanditaires. recherche du naturalisme radical chez Caravage, jamais d’idéalisation, quelque soit le sujet.;la-mort-de-la-vierge_1601-1606.jpg;Peinture, Huile, baroque;927;1400;227540
vidrecome-chope-combat-des-centaures-et-des-lapi_vers-1700;24;Vidrecome (chope) : combat des centaures et des lapithes;Vers 1700;Allemagne du Sud;Louvre;"Ivoire d’éléphant et monture vermeil. 
Baroque tardif, il faut le voir de tous les côtés, mouvements, torsion. Kunstkammer";vidrecome-chope-combat-des-centaures-et-des-lapi_vers-1700.jpg;Orfèvrerie, Sculpture, Baroque;580;640;36942
mobilier-aux-epis_1787;25;Mobilier aux épis;1787;Georges Jacob;Versailles;pour le petit trianon, commande de Marie Antoinette. Bois peint et sculpté de lierre, épis de blé, pomme de pins;mobilier-aux-epis_1787.jpg;Mobilier, siège, Louis XVI;758;1112;101320
sir-gregory-page-turner_1768;26;Sir Gregory Page Turner;1768;Pompeo Batoni;Manchester Art Gallery;Portrait d’apparat avec le résumé du Grand Tour : colisée, colonne, buste casqué en marbre. Aristocrates anglais;sir-gregory-page-turner_1768.jpg;Peinture, Huile, néoclassicisme, Portrait;807;1092;136576
