id;ligne;titre;date;artiste;lieu;image;tags;largeur;hauteur;octets
majolique-de-la-scene-de-la-manne_1540-1550;14;Majolique de la scène de la Manne;1540-1550;Atelier des Fontana, Urbino. Gravure de Raimondi d’après Raphaël;Louvre;majolique-de-la-scene-de-la-manne_1540-1550.jpg;Faïence, Renaissance;468;484;59410
enlevement-des-sabines_1579-1583;15;enlèvement des Sabines;1579-1583;Jean de Bologne;loggia dei lanzi;enlevement-des-sabines_1579-1583.jpg;Sculpture, marbre, Baroque;500;750;49800
le-jeune-mendiant_v-1645-1648;16;Le jeune mendiant;V.1645-1648;Bartolomé Esteban Murillo;Louvre;le-jeune-mendiant_v-1645-1648.jpg;Peinture, Huile, Baroque;1153;1400;228753
le-christ-en-croix-adore-par-deux-donateurs_c-1590;17;Le christ en croix adoré par deux donateurs;C 1590;El Greco;Louvre;le-christ-en-croix-adore-par-deux-donateurs_c-1590.jpg;Peinture, Huile, Maniérisme;913;1400;136955
la-pudeur_1749-1752;18;La pudeur;1749-1752;Antonio Corradini;chapelle sansevero, Naples.;la-pudeur_1749-1752.jpg;Sculpture, marbre, Baroque, Rocaille;634;1024;121412
fontaine-de-trevi_1732-1762;19;Fontaine de Trévi;1732-1762;Nicola Salvi puis Giovanni paolo Panini;Rome;fontaine-de-trevi_1732-1762.jpg;Sculpture, Architecture, Baroque, Rocaille;1400;759;213722
buste-de-louis-xiv_1665;20;Buste de Louis XIV;1665;Gian lorenzo Bernini;Versailles;buste-de-louis-xiv_1665.jpg;Baroque, Sculpture, marbre;1400;980;246799
fresque-du-plafond-de-l-escalier-d-honneur_1751;21;Fresque du plafond de l’escalier d’honneur;1751;Giovanni Battista Tiepolo;résidence de Würzburg;fresque-du-plafond-de-l-escalier-d-honneur_1751.jpg;Peinture, fresque, baroque;445;583;83806
fresques-de-la-chapelle-royale_1699-1710;22;Fresques de la chapelle royale;1699-1710;Antoine Coypel, Charles De la Fosse, Jean-baptiste Jouvenet;Versailles;fresques-de-la-chapelle-royale_1699-1710.jpg;Peinture, fresque, baroque;810;1215;332871
la-mort-de-la-vierge_1601-1606;23;La mort de la Vierge;1601-1606;Michelangelo Merisi, dit Caravage;Louvre;la-mort-de-la-vierge_1601-1606.jpg;Peinture, Huile, baroque;927;1400;227540
vidrecome-chope-combat-des-centaures-et-des-lapi_vers-1700;24;Vidrecome (chope) : combat des centaures et des lapithes;Vers 1700;Allemagne du Sud;Louvre;vidrecome-chope-combat-des-centaures-et-des-lapi_vers-1700.jpg;Orfèvrerie, Sculpture, Baroque;580;640;36942
mobilier-aux-epis_1787;25;Mobilier aux épis;1787;Georges Jacob;Versailles;mobilier-aux-epis_1787.jpg;Mobilier, siège, Louis XVI;758;1112;101320
sir-gregory-page-turner_1768;26;Sir Gregory Page Turner;1768;Pompeo Batoni;Manchester Art Gallery;sir-gregory-page-turner_1768.jpg;Peinture, Huile, néoclassicisme, Portrait;807;1092;136576
vue-du-grand-canal_1726;27;Vue du grand canal;1726;Antonio Canaletto;Galerie des offices;vue-du-grand-canal_1726.jpg;Peinture, Huile, Paysage;960;602;218461
gondoles-sur-la-lagune_1765;28;gondoles sur la lagune;1765;Francesco Guardi;musée Poldi Pezzoli, milan;gondoles-sur-la-lagune_1765.jpg;Peinture, Huile, Paysage;1400;892;330314
autoportrait-au-chevalet_1800;29;Autoportrait au chevalet;1800;Elisabeth Vigée Le Brun;Musée de l’ermitage;autoportrait-au-chevalet_1800.jpg;Peinture, Huile, Portrait, Dessin;500;591;68915
continence-de-scipion_1726;30;Continence de Scipion;1726;François Lemoyne;musée des beaux-arts de Nancy;continence-de-scipion_1726.jpg;Peinture, Huile, Histoire, Baroque;760;537;65009
diane-au-repos_1726;31;Diane au repos;1726;Jean-François De Troy;musée des beaux-arts de Nancy;diane-au-repos_1726.jpg;Peinture, Huile, Histoire, Rocaille;1400;922;160512
l-enlevement-d-europe_1747;32;L’enlèvement d’Europe;1747;François Boucher;Louvre;l-enlevement-d-europe_1747.jpg;Peinture, Huile, Histoire, Rocaille;1400;1144;281182
adelaide-de-france-en-diane_1745;33;Adélaïde de France en Diane;1745;Jean-Marc Nattier;Palais Pitti, Florence;adelaide-de-france-en-diane_1745.jpg;Peinture, Huile, Portrait, Rocaille;600;443;48421
